iter	Passed	Remaining
0	27	8236
1	32	4827
2	37	3683
3	46	3416
4	51	3020
5	75	3705
6	80	3363
7	95	3479
8	102	3309
9	106	3095
10	111	2922
11	115	2781
12	128	2846
13	134	2747
14	139	2652
15	153	2725
16	164	2736
17	169	2657
18	173	2569
19	180	2527
20	185	2465
21	189	2398
22	197	2378
23	208	2392
24	212	2339
25	221	2335
26	228	2309
27	233	2264
28	237	2222
29	249	2244
30	254	2207
31	258	2168
32	263	2131
33	268	2097
34	272	2062
35	276	2036	305	2169
37	309	2130
38	316	2119
39	322	2096
40	329	2081
41	41	320	1970
42	329	1967
43	333	1942
44	338	1918
45	346	1914
46	353	147	347	362	1901
48	366	1879
49	373	1865
50	378	1847
51	383	1827
52	387	1805
53	392	1785
54	399	1777
55	403	1759
56	416	1774
57	420	1755
58	431	1761
59	436	1747
60	458	1798
61	466	1791
62	471	1772
63	475	1754
64	480	1736
65	484	1718
66	489	1701
67	495	1690
68	499	1673
69	509	1672
70	515	1662
71	520	1647
72	525	1633
73	530	1619
74	535	1605
75	539	1589
76	544	1575
77	555	1580
78	562	1572
79	566	1556
80	570	1542
81	577	1536
82	582	1522
83	586	1509
84	591	1485	624	1553
86	86	620	1520
87	631	1522
88	636	1509
89	641	1496
90	652	1499
91	658	1488
92	662	1475
93	667	1462
94	672	1450
95	684	1454
96	689	1442
97	693	1429
98	698	1417
99	702	1405
100	709	1397
101	713	1385
102	717	1372
103	721	1360
104	726	1348
105	731	1338
106	735	1327
107	742	1320
108	748	1310
109	753	1301
110	757	1289
111	762	1279
112	766	1268
113	771	1258
114	775	1247
115	779	1235
116	784	1226
117	789	1217
118	793	1207
119	800	1201
120	805	1191
121	810	1182
122	814	1172
123	818	1162
124	823	1152
125	827	1142
126	833	1135
127	838	1126
128	842	1116
129	845	1106
130	849	1096
131	856	1090
132	866	1087
133	876	1085
134	880	1076
135	887	1069
136	892	1062
137	896	1052
138	902	1045
139	906	1036
140	910	1026
141	918	1022
142	924	1015
143	930	1008
144	934	998
145	939	990
146	944	983
147	948	974
148	953	966
149	958	958
150	963	950
151	968	942
152	972	934
153	977	926
154	983	919
155	987	911
156	992	903
157	997	896
158	1002	888
159	1006	880
160	1016	877
161	1022	870
162	1027	863
163	1031	855
164	1035	847
165	1040	840
166	1048	834
167	1054	828
168	1059	821
169	1064	813
170	1068	806
171	1075	800
172	1084	796
173	1088	788
174	1092	780
175	1097	773
176	1102	766
177	1106	758
178	1110	750
179	1115	743
180	1120	736
181	1124	728
182	1129	722
183	1137	717
184	1143	710
185	1148	703
186	1152	696
187	1155	688
188	1160	681
189	1164	674
190	1169	667
191	1174	660
192	1179	653
193	1183	646
194	1189	640
195	1193	633
196	1198	626
197	1203	620
198	1208	613
199	1215	607
200	1219	600
201	1226	595
202	1232	588
203	1236	581
204	1240	574
205	1245	568
206	1249	561
207	1254	554
208	1260	548
209	1265	542
210	1270	536
211	1275	529
212	1279	522
213	1283	515
214	1288	509
215	1292	502
216	1297	496
217	1302	490
218	1306	483
219	1311	476
220	1316	470
221	1321	464
222	1325	457
223	1330	451
224	1334	444
225	133226	13226	134227	13227	1358	428
228	1362	422
229	1366	416
230	1371	409
231	1375	403
232	1380	396
233	1386	390
234	1390	384
235	1395	378
236	1399	372
237	1403	365
238	1408	359
239	1412	353
240	1416	346
241	1420	340
242	1425	334
243	1429	328
244	1434	322
245	1439	315
246	1443	309
247	1448	303
248	1452	297
249	1457	291
250	1461	285
251	1466	279
252	1471	273
253	1476	267
254	1481	261
255	1487	255
256	1491	249
257	1497	243
258	1502	237
259	1506	231
260	1511	225
261	1519	220
262	1526	214
263	1529	208
264	1534	202
265	1538	196
266	1542	190
267	1548	184
268	1552	178
269	1556	172
270	1561	167
271	1566	161
272	1571	155
273	1577	149
274	1582	143
275	1588	138
276	1593	132
277	1597	126
278	1603	120
279	1608	114
280	1613	109
281	1617	103
282	1623	97
283	1627	91
284	1632	85
285	1636	80
286	1641	74
287	1646	68
288	1651	62
289	1656	57
290	1662	51
291	1666	45
292	1671	39
293	1675	34
294	1679	28
295	1683	22
296	1687	17
297	1691	11
298	1694	5
299	1698	0
4	0
